kata_imbuhan,kata_dasar
berpartner, partner
bertikas, tikas
berjaga, jaga
bertepatan, tepat
bertiwikrama, tiwikrama
bertruk-truk, truk
bergirang, girang
berfasilitas, fasilitas
banyolan, banyol
bertasydid, tasydid
bersempang, sempang
bernasib, nasib
berusahan, usah
bertahunan, tahun
berubah, ubah
berambai, ambai
berlusin-lusin, lusin
berwadahkan, wadah
bertimbal-timbalan, timbal
berlesehan, leseh
berkirung, kirung
berlatih, latih
berspektrum, spektrum
bersebar, sebar
berinai, ina
berkepastian, pasti
berdurhaka, durhaka
bersumber, sumber
berkomponen, komponen
bertaburkan, tabur
beranggapan, anggap
berkombinasi, kombinasi
berpinar-pinar, pinar
berselit-selit, selit
berprinsip, prinsip
bertaklid, taklid
bergempa, gempa
berancang-ancang, ancang
bersaluir, saluir
berpuntal-puntal, puntal
berantar, antar
berkejap, kejap
bertatah, tatah
belajarnya, ajar
berkelijak, kelijak
bergerak, gerak
bersahaja, sahaja
beserdam, serdam
berbeta, beta
berjamur, jamur
bergerepes, gerepes
berkerah, kerah
berkipas-kipas, kipas
berpencar, pencar
bangunan, bangun
berkias-kias, kias
berhumor, humor
berkerang, kerang
bersorak, sorak
berlambai-lambai, lambai
bertandem, tandem
bertawajuh, tawajuh
berbasut, basut
berkeluh, keluh
bercemas, cemas
bersekongkol, sekongkol
berdukacita, dukacita
berkhamir, khamir
bergedek, gedek
bercari, cari
berladung, ladung
berliur, liur
berkoordinasi, koordinasi
bantaian, bantai
berjatuh, jatuh
bermuka-muka, muka
bersenggayutan, senggayut
berkamar, kamar
blasteran, blaster
berbatin, batin
bersundal, sundal
berkobok-kobok, kobok
berkirai, kira
berpangkalan, pangkal
bernafas, nafas
berbecak, becak
berbondong-bondong, bondong
berderak-derak, derak
bertamadun, tamadun
berasing-asingan, asing
berjuta-juta, juta
berijab, ijab
bermukah, mu
belokan, belok
bertiarap, tiarap
beraksi, aksi
bernaga, naga
beraerobatik, aerobatik
berbekal, bekal
berserat, serat
berambil-ambil, ambil
bercemburuan, cemburu
berjulo-julo, julo
berpacaran, pacar
bersenggang-senggang, senggang
berazam, azam
berpadang, padang
bertopang, topang
berkang, kang
berbunuhan, bunuh
bersinggah, singgah
bergeronggang, geronggang
bertuhankan, tuhan
beriktikad, iktikad
berurap, urap
beralasan, alas
berperkara, perkara
bergonjong, gonjong
berlimpah-limpah, limpah
berlepau, lepau
bertapa, tapa
bulirnya, bulir
bolanya, bola
berlancang, lancang
berkeriutan, keriut
berkeriut, keriut
berkala-kala, kala
berkemandang, kemandang
berseloyong, seloyong
bergerayangan, gayang
biusan, bius
berpisahlah, pisah
bulu-bulu, bulu
beras-beras, beras
belahnya, belah
berzikir, zikir
berpawai, pawai
bertimbalan, timbal
berkirim-kiriman, kirim
berdelan, delan
bersanggakan, sangga
berlepas, lepas
berjelapak, jelapak
berkilatan, kilat
berlebihan, lebih
berkasidah, kasidah
bernala-nala, nala
berkuasa, kuasa
bersemadi, mad
bersepuh, sepuh
bersua, sua
buahnya, buah
bermuwajahah, muwajahah
bersiap, siap
berklakson, klakson
bertaruh, taruh
bertonase, tonase
bercencang, cencang
berangka-angka, angka
bersebab, sebab
berjunjungan, junjung
bergelincir, gelincir
berkabilan, kabil
bersampul, sampul
berbelasungkawa, belasungkawa
bersilat, silat
bercadar, cadar
berkeret, ret
berkemban, kemban
berhakim, hakim
bermalaikan, malai
berpuaka, puaka
berseragam, seragam
berhaluan, haluan
berliturgi, liturgi
berjam-jam, jam
berselendang, selendang
berpelepah, pelepah
bertahan, tahan
bubun-bubun, bubun
berjinjit, jinjit
berdenging, denging
bersangatan, sangat
bekernyut, kernyut
berlainan, lain
berkejap-kejap, kejap
bertitik-titik, titik
berkicuh, kicuh
berbau, bau
buruan, buru
bersenggulung, senggulung
berkilah-kilah, kilah
berselepat, selepat
berkecandan, kecandan
berpresisi, presisi
berilah, ilah
berhantar, hantar
berganti, ganti
berserupa, rupa
berekonomi, ekonom
berpendopo, pendopo
berwana, wana
bercendawan, cendawan
bergayut, gayut
bertanggal, tanggal
berebesan, rebes
berkategori, kategori
bertombol, tombol
bercula, cula
berkelit-kelit, kelit
bicu-bicu, bicu
bergilir-gilir, gilir
berderap, derap
berguncang, guncang
bertakik, takik
berperisai, perisa
berpair-pair, pair
bertengkar, tengkar
bantalnya, bantal
berjanji, janji
berkulup, kulup
bercekik, cekik
berpresiden, presiden
bergolekan, golek
berbedak, bedak
berteras, teras
bertitikan, titi
berkeping-keping, keping
bertuan, tuan
beraspirasi, aspirasi
berdekam, dekam
berbaju, baju
bermamai, mama
berpukas-pukas, pukas
berdekapan, dekap
berlakunya, laku
benggolan, benggol
bakalan, bakal
berlempuk, lempuk
bertutur-tutur, tutur
bacaannya, baca
bersauh, sauh
beperdu, perdu
bercermin, cermin
berkaki, kak
bergugus-gugus, gugus
berlapang-lapang, lapang
berteleku, tele
berbalam, balam
bertian, tian
berenergi, energi
berintim-intim, intim
berkuran, kur
beruluk, uluk
batu-batuan, batu
berparak, parak
basungan, basung
beridentitas, identitas
bilasan, bilas
berlapik, lapik
bersolek, solek
berjelum, jelum
bertubuh, tubuh
bertempuh, tempuh
berkapak, kapak
bersalaman, salam
bermenantu, menantu
berapresiasi, apresiasi
bertolong-tolongan, tolong
berawal, awal
bersarasehan, sarasehan
berkurangnya, kurang
beristrikan, istri
bergarau, garau
berbenar, benar
berkaraoke, karaoke
berbadai, bada
berkelah, kelah
berdatuk, datuk
berprestasi, prestasi
berkarat, karat
bertimba, timba
berenak-enak, enak
berjoget, joget
berdamai, damai
berstandar, standar
bertemperamen, temperamen
bermenantukan, menantu
berlenggek-lenggek, lenggek
bersengketa, sengketa
bertangkai, tangkai
bergeleparan, gelepar
berlomba-lomba, lomba
bincui, bincu
berlabun-labun, labun
berleting, leting
berguncangan, guncang
berukup, ukup
berkinja-kinja, kinja
berkodok, kodok
bertindak, tindak
berbukan, bukan
bacokan, baco
bangunnya, bangun
beruris-uris, uris
bersurih, surih
bertamasya, tamasya
berayal-ayalan, ayal
berenyaian, renyai
berlantas, lantas
beliaulah, biau
beralaskan, alas
berpijak, pijak
bautnya, baut
berlekat-lekat, lekat
berujud, ujud
berhanyutan, hanyut
buminya, bumi
berlisensi, lisensi
berpolitik, politik
beritanya, berita
bersebaran, baran
berganjak, ganjak
bergumulan, gumul
berlekap, lekap
berhanyut, hanyut
binaan, bina
bercorong, corong
bersesak-sesak, sesak
beratur, atur
bergalur-galur, galur
bertauliah, tauliah
berseba, seba
berdasi, das
berkapur, kapur
berlecah, lecah
berpunuk, punuk
bersuji, suji
bergurau, gurau
berpangku, pangku
bersembunyi, sembunyi
bermartabat, martabat
berpramuka, pramuka
bertitar-titar, titar
berimbuh, imbuh
berkunang-kunang, nang
besar-besaran, besar
berselimutkan, limut
beragam, agam
bersegeh, segeh
berlak, lak
bertalun, talun
bermuamalah, muamalah
bergeleng, geleng
bersimbol, simbol
bergerapu, gerapu
berdaulat, daulat
berjabatan, jabat
bersumpah-sumpahan, sumpah
bergurindam, gurindam
berkampanye, kampanye
berbadi, bad
berkualifikasi, kualifikasi
berkonfrontasi, konfrontasi
berlekatan, lekat
belengguan, belenggu
berwarna-warna, warna
berselingkuh, selingkuh
berpatil, patil
bayan-bayan, bayan
berpenat-penat, penat
bertambatkan, tambat
beremigrasi, emigrasi
berjejak, jejak
berhantu, hantu
berkementam, kementam
berciut-ciut, ciut
berkandang, kandang
bersobat, sobat
bosanan, bosan
berlaki, lak
berlopak, lopak
berdencing, dencing
berhektare-hektare, hektare
berdendang, dendang
berimigrasi, imigrasi
berkepul, kepul
berolak, olak
bertakwa, takwa
berlebih-lebih, lebih
bercuping, cuping
bermandikan, mandi
berkubur, kubur
berlahar, lahar
beranjur, anjur
berkemal, kemal
berniat, niat
benjolan, benjol
berdarah, darah
berperibahasa, peribahasa
batinnya, batin
berpesawat, pesawat
belimbingan, bimbing
berpuak-puak, puak
bertaharah, taharah
beruntung-untung, untung
berlunak, lunak
bertanti, tanti
berhampiran, hampir
belangnya, belang
berkecup, kecup
beralam, alam
bersigai, sigai
berbarengan, bareng
bantulah, bantu
berseru-seru, seru
berdengking, dengking
bobolan, bobol
berampas, ampas
berputusan, putus
bergendeng-gendengan, gendeng
berunsur, unsur
bantahan, bantah
bahasan, bahas
berajut, rajut
biofisiknya, biofisik
berketua, ketua
bersesuaian, suai
berkamu, kamu
berintegritas, integritas
berkelahi, kelah
bersisurut, sisurut
berpialang, pialang
bersinetron, sinetron
berlain-lainan, lain
bertengkaran, tengkar
bayangkan, bayang
bertaut, taut
berceceran, cecer
berjerempak, jerempak
benangnya, benang
berbelang-belang, belang
bermotor, motor
beraudiensi, audiensi
berkeringat, keringat
berjalur-jalur, jalur
bersenar, senar
bersampan-sampan, sampan
berkesudahan, sudah
bertakbir, takbir
berhipotesis, hipotesis
bayinya, bayi
biji-bijian, biji
bertikar, tikar
berkemudi, mud
bergundul, gundul
bersejajar, sejajar
berformalin, formalin
berkernyut, kernyut
berhiliran, hilir
berlangsungnya, langsung
bersep, sep
berkeliaran, liar
berkeokan, keok
berbercak, bercak
bergosip, gosip
berpondong, pondong
bertuntun, tuntun
bergendakan, gendak
babkan, bab
berpuas, puas
bernegosiasi, negosiasi
berpaspor, paspor
berbintang-bintang, bintang
berpesta, pesta
bersesat, sesat
beres-beres, beres
berkecak, kecak
bermusuhan, musuh
berpolok-polok, polok
bertanggang, tanggang
berjambul, jambul
bergerenyot, gerenyot
berintegrasi, integrasi
berpahit-pahit, pahit
berkiriman, kirim
bermanfaat, manfaat
bergiliran, gilir
bergelimpangan, gelimpang
berpasang-pasang, pasang
bergontokan, gontok
berkano, kano
bangkalan, bangkal
bertepikan, tepi
beraset, aset
berempati, empat
bajunya, baju
barisan, baris
bertahukan, tahu
berlambangkan, lambang
barunya, baru
berlebih-lebihan, lebih
berpunya, punya
bermata, mata
bertalu-talu, talu
beternak, ternak
balutan, balut
bermeditasi, meditasi
bertambak, tambak
berbendi, bendi
berhomofon, homofon
bayang-bayang, bayang
bergagang, gagang
bertaruhan, taruh
bersisi, sis
berbebar, bebar
berpolah-polah, polah
berkedai, kedai
berdentung, dentung
berhamun-hamun, hamun
bersusuhan, susuh
bersedu, sedu
berpencaran, caran
berselang, selang
berlabuh, labuh
berselulup, selulup
berparap, parap
berbangkai, bangka
bercokok, cokok
bersalah, salah
berjuta, juta
berongkol, rongkol
berdegar-degar, degar
berlikur-likur, likur
buruknya, buruk
berbilai, bila
berkias-kiasan, kias
berbanjar, banjar
bereinkarnasi, reinkarnasi
beruntun, untun
berbesar-besar, besar
bersembahyang, sembahyang
berenyah, enyah
berpenggalan, galan
bertekad, tekad
berpengalaman, alam
berminyak, minyak
berdampung-dampung, dampung
bergembut-gembut, gembut
berkecai-kecai, kecai
beslahan, beslah
berselisih, selisih
bersusuk, susuk
bertakak, takak
berkudung, kudung
bersimpai, simpai
berpanco, panco
berumbai, rumba
bergandeng, gandeng
berlambang, lambang
berjengkek-jengkek, jengkek
bernanah, nanah
bertualang, tualang
berdengar, dengar
bersedia, sedia
berdandan, dandan
berkalih, kalih
berduyun, duyun
bangsanya, bangsa
berkesan, kesan
berasan, asan
bercengkung, cengkung
bersalam-salaman, salam
bersendeng, sendeng
berkopah-kopah, kopah
berdetus, detus
beterkup, terkup
bertulang, tulang
binti-binti, binti
berwaktu, waktu
batikan, bati
berjeramah, jeramah
bertukang, tukang
berpadan, padan
bertikaman, tikam
bertaring, taring
berjengkengan, jengkeng
berdinding, dinding
buru-buru, buru
beragak, agak
berhandai-handai, handai
berkandul, kandul
berereksi, ereksi
berkena-kenaan, kena
berkiat, kiat
bertekan, tekan
berikatan, ikat
berbelit-belit, belit
berulat, ulat
berkesimpulan, simpul
berdosa, dosa
bersipongang, sipongang
berdebuk, debuk
bermodalkan, modal
berpacek, pacek
bertiga, tiga
bongkar-membongkar, bongkar
bertawar-tawaran, tawar
bayaran, bayar
bertunjuk, tunjuk
berjenis-jenis, jenis
berbiji, biji
berembun, embun
bertampin, tampin
bertumbuh, tumbuh
bersesapan, sap
berotonomi, otonom
berpuasa, puasa
bercalit, calit
berpraktek, praktek
berkejaran, jaran
berselirat, selirat
bermandi, mandi
berdekat, dekat
berhomo, homo
berkitab, kitab
bertransformasi, transformasi
berselempang, selempang
berpasangan, pasang
berlendir, lendir
berkukus, kukus
bergelandangan, gelandang
berdaur, daur
berhabitat, habitat
berbulan, bulan
bercinta, cinta
bannya, ban
bersemai, sema
berbuka-bukaan, buka
berehat, rehat
berkuting-kuting, kuting
baretnya, baret
bermengkal, mengkal
benaman, benam
bersikudidi, sikudidi
berpedoman, pedoman
berkodi-kodi, kodi
bertetangga, tetangga
berfluoresensi, fluoresens
bertikam, tikam
berpita, pita
bergelayut, gelayut
berakan, akan
berperang, perang
berteguran, tegur
berkucak, kucak
bersendikan, sendi
berkerabu, kerabu
berdetasan, detas
berdeging, deging
bertangkar, tangkar
bahu-membahu, bahu
bergemuruh, gemuruh
bidikannya, bidik
bergairah, gairah
berhingga, hingga
beroplah, oplah
bermatikan, mati
berbawaan, bawa
berkertak, kertak
berbelalai, bala
berpindahnya, pindah
berpotong-potong, potong
bertegur, tegur
